Date,Open,High,Low,Close,Adj Close,Volume
2011-11-17,132420000.000000,147900000.000000,130080000.000000,142860000.000000,142860000.000000,0
2011-11-18,134700000.000000,142680000.000000,133080000.000000,133080000.000000,133080000.000000,0
2011-11-21,147240000.000000,147660000.000000,134760000.000000,136380000.000000,136380000.000000,0
2011-11-22,137820000.000000,140520000.000000,129960000.000000,130680000.000000,130680000.000000,0
2011-11-23,136920000.000000,143040000.000000,135060000.000000,142440000.000000,142440000.000000,0
2011-11-25,143400000.000000,147120000.000000,137880000.000000,146100000.000000,146100000.000000,0
2011-11-28,126660000.000000,135000000.000000,124440000.000000,132180000.000000,132180000.000000,0
2011-11-29,129660000.000000,132240000.000000,124020000.000000,126600000.000000,126600000.000000,0
2011-11-30,109560000.000000,111420000.000000,103620000.000000,104160000.000000,104160000.000000,0
2011-12-01,105000000.000000,105480000.000000,98040000.000000,99420000.000000,99420000.000000,0
2011-12-02,93660000.000000,99300000.000000,90420000.000000,98820000.000000,98820000.000000,0
2011-12-05,90720000.000000,100620000.000000,90480000.000000,98520000.000000,98520000.000000,0
2011-12-06,98520000.000000,99780000.000000,95100000.000000,97620000.000000,97620000.000000,0
2011-12-07,100500000.000000,108300000.000000,100440000.000000,103800000.000000,103800000.000000,0
2011-12-08,109560000.000000,114960000.000000,108000000.000000,113400000.000000,113400000.000000,0
2011-12-09,110280000.000000,110520000.000000,97260000.000000,97680000.000000,97680000.000000,0
2011-12-12,101220000.000000,105000000.000000,97920000.000000,97920000.000000,97920000.000000,0
2011-12-13,94020000.000000,100980000.000000,89880000.000000,97140000.000000,97140000.000000,0
2011-12-14,96840000.000000,101640000.000000,94380000.000000,97500000.000000,97500000.000000,0
2011-12-15,90720000.000000,92700000.000000,87900000.000000,90240000.000000,90240000.000000,0
2011-12-16,84300000.000000,91440000.000000,84300000.000000,89220000.000000,89220000.000000,0
2011-12-19,87300000.000000,88800000.000000,83700000.000000,87240000.000000,87240000.000000,0
2011-12-20,79620000.000000,79620000.000000,76500000.000000,76560000.000000,76560000.000000,0
2011-12-21,75060000.000000,77280000.000000,66240000.000000,66480000.000000,66480000.000000,0
2011-12-22,63540000.000000,67800000.000000,61020000.000000,66420000.000000,66420000.000000,0
2011-12-23,64560000.000000,70920000.000000,64380000.000000,69600000.000000,69600000.000000,0
2011-12-27,69000000.000000,69480000.000000,66960000.000000,68820000.000000,68820000.000000,0
2011-12-28,67980000.000000,74700000.000000,67980000.000000,74280000.000000,74280000.000000,0
2011-12-29,73320000.000000,73440000.000000,70500000.000000,70740000.000000,70740000.000000,0
2011-12-30,70740000.000000,73020000.000000,70200000.000000,72960000.000000,72960000.000000,0
2012-01-03,66240000.000000,67020000.000000,64500000.000000,65280000.000000,65280000.000000,0
